100,15
Ground,4,1,1,1
Ground,3,1,1,1
Ground,2,1,1,1
Ground,1,1,1,1
Ground,0,1,1,1
Ground,0,0,1,1
Ground,1,0,1,1
Ground,2,0,1,1
Ground,3,0,1,1
Ground,4,0,1,1
Ground,5,0,1,1
Ground,6,0,1,1
Ground,6,1,1,1
Ground,5,1,1,1
Ground,9,1,1,1
Ground,9,0,1,1
Ground,10,0,1,1
Ground,11,0,1,1
Ground,12,0,1,1
Ground,12,1,1,1
Ground,11,1,1,1
Ground,10,1,1,1
Ground,15,1,1,1
Ground,15,0,1,1
Ground,16,0,1,1
Ground,17,0,1,1
Ground,18,0,1,1
Ground,18,1,1,1
Ground,17,1,1,1
Ground,16,1,1,1
Pipe,16,2,2,2
Ground,21,1,1,1
Ground,21,0,1,1
Ground,22,0,1,1
Ground,23,0,1,1
Ground,24,0,1,1
Ground,24,1,1,1
Ground,23,1,1,1
Ground,22,1,1,1
Pipe,22,2,2,2
Block,2,13,1,1
Block,9,13,1,1
Block,10,13,1,1
Block,13,13,1,1
Ground,27,1,1,1
Ground,27,0,1,1
Ground,28,0,1,1
Ground,29,0,1,1
Ground,29,1,1,1
Ground,30,1,1,1
Ground,30,0,1,1
Ground,28,1,1,1
Pipe,28,2,2,2
Block,8,13,1,1
Block,15,13,1,1
Block,16,13,1,1
Block,17,13,1,1
Ground,33,1,1,1
Ground,34,1,1,1
Ground,35,1,1,1
Ground,36,1,1,1
Pipe,34,2,2,2
Ground,33,0,1,1
Ground,34,0,1,1
Ground,35,0,1,1
Ground,36,0,1,1
Block,18,13,1,1
Ground,37,0,1,1
Ground,37,1,1,1
Ground,38,0,1,1
Ground,38,1,1,1
Ground,41,1,1,1
Ground,42,1,1,1
Ground,43,1,1,1
Ground,44,1,1,1
Ground,41,0,1,1
Ground,42,0,1,1
Ground,43,0,1,1
Ground,44,0,1,1
Pipe,42,2,2,2
Block,29,13,1,1
Block,31,13,1,1
Block,33,13,1,1
Ground,47,0,1,1
Ground,47,1,1,1
Ground,48,1,1,1
Pipe,48,2,2,2
Ground,49,1,1,1
Ground,50,0,1,1
Ground,50,1,1,1
Ground,48,0,1,1
Ground,49,0,1,1
